Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$"
Non Taxable,VIC,3016,"2,131","2,044","23,876,175",496,"598,847",8,"13,872",2,"4,548",0,0,0,0,0,0,979,"10,575,116",824,"1,003,853",130,"424,016",9,"33,250",10,"50,319",199,"1,438,994",207,"2,517,681",16,"104,949",27,"346,100","1,272","1,869,412",259,"144,696",617,"1,766,128",617,"751,168","2,067","26,200,051"
Non Taxable,VIC,3018,"1,660","1,618","20,599,127",448,"525,515",4,"5,369",0,0,0,0,0,0,0,0,758,"8,757,431",641,"931,942",107,"479,815",5,"18,907",8,"11,831",176,"1,385,439",230,"2,787,979",11,"71,113",32,"528,426",929,"1,390,707",192,"70,644",518,"1,179,267",518,"504,870","1,621","21,402,405"
Non Taxable,VIC,3019,"1,305","1,259","15,703,480",323,"180,092",3,"2,087",0,0,0,0,0,0,0,0,812,"8,702,822",663,"778,557",97,"117,976",7,"15,816",7,"12,579",309,"2,400,087",88,"1,249,533",2,"6,961",3,"38,981",506,"285,550",26,"6,705",73,"106,837",73,"45,979","1,258","16,087,888"
Non Taxable,VIC,3020,"6,413","6,158","76,235,019","1,640","1,004,968",2,"1,661",0,0,0,0,0,0,4,"9,521","3,721","40,733,873","3,106","3,762,595",506,"1,374,086",19,"66,515",33,"61,345","1,301","10,395,752",586,"7,865,700",14,"53,841",37,"478,326","2,742","2,166,015",232,"68,579",594,"1,198,710",594,"514,333","6,163","78,688,994"
Non Taxable,VIC,3021,"7,596","7,290","94,646,373","2,069","1,475,080",5,"6,971",0,0,0,0,0,0,0,0,"4,347","47,442,760","3,607","4,066,340",599,"1,062,625",28,"96,060",37,"105,754","1,604","12,906,029",845,"11,095,878",14,"98,363",31,"542,942","2,982","2,225,601",301,"90,257",703,"1,176,593",702,"502,899","7,297","96,818,761"
Non Taxable,VIC,3022,471,458,"5,791,462",118,"80,898",0,0,0,0,0,0,0,0,0,0,240,"2,803,209",216,"313,403",47,"91,216",1,"9,056",3,"6,388",101,"869,014",54,"734,530",3,"47,400",8,"114,853",214,"190,642",24,"23,321",62,"140,369",61,"59,306",461,"6,031,976"
Non Taxable,VIC,3023,"7,577","7,233","88,553,370","1,889","1,227,250",7,"1,821",0,0,0,0,0,0,1,"3,597","4,394","48,891,654","3,718","4,464,580",673,"1,573,276",35,"173,231",38,"128,534","1,403","10,286,511",638,"8,506,600",20,"153,965",31,"534,690","3,243","2,075,426",252,"76,934",673,"876,363",671,"373,156","7,253","91,559,480"
Non Taxable,VIC,3024,"2,929","2,737","32,935,950",669,"498,205",3,"1,791",0,0,0,0,0,0,1,"5,596","1,767","18,761,335","1,548","1,909,535",292,"472,708",15,"29,114",20,"50,928",493,"3,787,383",295,"3,935,555",8,"54,689",28,"448,706","1,272","762,927",64,"16,565",209,"278,745",209,"118,638","2,746","34,373,664"
Non Taxable,VIC,3025,"1,297","1,252","16,067,769",360,"278,724",1,110,0,0,0,0,0,0,0,0,616,"6,923,124",528,"682,942",91,"260,012",9,"61,000",6,"9,715",208,"1,614,362",161,"2,255,843",4,"33,094",10,"74,229",589,"628,473",75,"29,919",239,"448,648",238,"193,006","1,254","16,514,595"
Non Taxable,VIC,3026,133,123,"1,221,905",23,"15,058",0,0,0,0,0,0,0,0,0,0,75,"828,873",63,"101,047",7,"1,586",1,39,0,0,14,"118,709",9,"129,248",0,0,0,0,59,"20,968",3,658,12,"17,853",12,"7,256",121,"1,254,730"
Non Taxable,VIC,3027,"1,096",996,"9,989,435",229,"87,354",2,247,0,0,0,0,0,0,0,0,599,"6,808,199",514,"740,948",97,"284,241",1,469,4,"8,569",108,"721,797",38,"520,399",1,"6,564",0,0,492,"213,496",22,"9,763",60,"74,334",60,"29,958","1,005","10,545,423"
